ID,Resort,Month,Snow
1,Hemsedal,2022-12-01,100.0
1,Hemsedal,2022-11-01,88.58
1,Hemsedal,2022-05-01,100.0
1,Hemsedal,2022-04-01,100.0
1,Hemsedal,2022-03-01,100.0
1,Hemsedal,2022-02-01,100.0
1,Hemsedal,2022-01-01,99.21
2,Geilosiden Geilo,2022-12-01,100.0
2,Geilosiden Geilo,2022-11-01,100.0
2,Geilosiden Geilo,2022-05-01,100.0
2,Geilosiden Geilo,2022-04-01,100.0
2,Geilosiden Geilo,2022-03-01,100.0
2,Geilosiden Geilo,2022-02-01,100.0
2,Geilosiden Geilo,2022-01-01,100.0
3,Golm,2022-12-01,95.28
3,Golm,2022-11-01,11.02
3,Golm,2022-05-01,1.18
3,Golm,2022-04-01,11.42
3,Golm,2022-03-01,21.65
3,Golm,2022-02-01,96.06
3,Golm,2022-01-01,75.2
119,Silvretta Montafon,2022-12-01,95.28
119,Silvretta Montafon,2022-11-01,11.02
119,Silvretta Montafon,2022-05-01,1.18
119,Silvretta Montafon,2022-04-01,11.42
119,Silvretta Montafon,2022-03-01,21.65
119,Silvretta Montafon,2022-02-01,96.06
119,Silvretta Montafon,2022-01-01,75.2
309,Brandnertal-Brand-?Bu?rserberg,2022-12-01,95.28
309,Brandnertal-Brand-?Bu?rserberg,2022-11-01,11.02
309,Brandnertal-Brand-?Bu?rserberg,2022-05-01,1.18
309,Brandnertal-Brand-?Bu?rserberg,2022-04-01,11.42
309,Brandnertal-Brand-?Bu?rserberg,2022-03-01,21.65
309,Brandnertal-Brand-?Bu?rserberg,2022-02-01,96.06
309,Brandnertal-Brand-?Bu?rserberg,2022-01-01,75.2
4,Red Mountain Resort-Rossland,2022-12-01,98.03
4,Red Mountain Resort-Rossland,2022-11-01,95.67
4,Red Mountain Resort-Rossland,2022-06-01,5.91
4,Red Mountain Resort-Rossland,2022-04-01,96.06
4,Red Mountain Resort-Rossland,2022-03-01,100.0
4,Red Mountain Resort-Rossland,2022-02-01,96.06
4,Red Mountain Resort-Rossland,2022-01-01,98.03
5,Hafjell,2022-12-01,100.0
5,Hafjell,2022-11-01,77.17
5,Hafjell,2022-04-01,100.0
5,Hafjell,2022-03-01,100.0
5,Hafjell,2022-02-01,100.0
5,Hafjell,2022-01-01,99.61
6,Voss,2022-12-01,100.0
6,Voss,2022-11-01,2.36
6,Voss,2022-10-01,100.0
6,Voss,2022-05-01,99.21
6,Voss,2022-04-01,100.0
6,Voss,2022-03-01,100.0
6,Voss,2022-02-01,100.0
6,Voss,2022-01-01,100.0
7,Porter,2022-06-01,1.97
8,Nevados de Chilla?n,2022-07-01,5.12
9,Hochschwarzeck,2022-12-01,95.28
9,Hochschwarzeck,2022-09-01,0.79
9,Hochschwarzeck,2022-04-01,9.06
9,Hochschwarzeck,2022-03-01,17.32
9,Hochschwarzeck,2022-02-01,98.82
9,Hochschwarzeck,2022-01-01,95.28
472,Go?tschen-Bischofswiesen,2022-12-01,95.28
472,Go?tschen-Bischofswiesen,2022-09-01,0.79
472,Go?tschen-Bischofswiesen,2022-04-01,9.06
472,Go?tschen-Bischofswiesen,2022-03-01,17.32
472,Go?tschen-Bischofswiesen,2022-02-01,98.82
472,Go?tschen-Bischofswiesen,2022-01-01,95.28
10,Rossfeld - Berchtesgaden - Oberau,2022-12-01,35.43
10,Rossfeld - Berchtesgaden - Oberau,2022-11-01,0.39
10,Rossfeld - Berchtesgaden - Oberau,2022-04-01,0.79
10,Rossfeld - Berchtesgaden - Oberau,2022-03-01,0.79
10,Rossfeld - Berchtesgaden - Oberau,2022-02-01,56.69
10,Rossfeld - Berchtesgaden - Oberau,2022-01-01,72.44
456,Gaissau-Hintersee,2022-12-01,35.43
456,Gaissau-Hintersee,2022-11-01,0.39
456,Gaissau-Hintersee,2022-04-01,0.79
456,Gaissau-Hintersee,2022-03-01,0.79
456,Gaissau-Hintersee,2022-02-01,56.69
456,Gaissau-Hintersee,2022-01-01,72.44
11,Fernie,2022-12-01,98.43
11,Fernie,2022-11-01,97.24
11,Fernie,2022-09-01,12.99
11,Fernie,2022-03-01,96.06
11,Fernie,2022-02-01,100.0
11,Fernie,2022-01-01,98.82
12,Sun Peaks,2022-12-01,95.67
12,Sun Peaks,2022-11-01,94.09
12,Sun Peaks,2022-04-01,96.85
12,Sun Peaks,2022-03-01,90.94
12,Sun Peaks,2022-02-01,98.43
12,Sun Peaks,2022-01-01,99.21
13,Panorama,2022-12-01,100.0
13,Panorama,2022-11-01,100.0
13,Panorama,2022-04-01,1.97
13,Panorama,2022-03-01,50.79
13,Panorama,2022-02-01,98.03
13,Panorama,2022-01-01,96.06
14,Brauneck Lenggries ?Wegscheid,2022-12-01,85.04
14,Brauneck Lenggries ?Wegscheid,2022-04-01,3.94
14,Brauneck Lenggries ?Wegscheid,2022-03-01,2.36
14,Brauneck Lenggries ?Wegscheid,2022-02-01,97.24
14,Brauneck Lenggries ?Wegscheid,2022-01-01,96.06
469,Christlum-Achenkirch,2022-12-01,85.04
469,Christlum-Achenkirch,2022-04-01,3.94
469,Christlum-Achenkirch,2022-03-01,2.36
469,Christlum-Achenkirch,2022-02-01,97.24
469,Christlum-Achenkirch,2022-01-01,96.06
15,Zermatt - Matterhorn,2022-12-01,100.0
15,Zermatt - Matterhorn,2022-11-01,99.21
15,Zermatt - Matterhorn,2022-05-01,4.33
15,Zermatt - Matterhorn,2022-04-01,31.89
15,Zermatt - Matterhorn,2022-03-01,100.0
15,Zermatt - Matterhorn,2022-02-01,100.0
15,Zermatt - Matterhorn,2022-01-01,91.34
129,Champoluc (Monterosa Ski),2022-12-01,100.0
129,Champoluc (Monterosa Ski),2022-11-01,99.21
129,Champoluc (Monterosa Ski),2022-05-01,4.33
129,Champoluc (Monterosa Ski),2022-04-01,31.89
129,Champoluc (Monterosa Ski),2022-03-01,100.0
129,Champoluc (Monterosa Ski),2022-02-01,100.0
129,Champoluc (Monterosa Ski),2022-01-01,91.34
134,Cervinia,2022-12-01,100.0
134,Cervinia,2022-11-01,99.21
134,Cervinia,2022-05-01,4.33
134,Cervinia,2022-04-01,31.89
134,Cervinia,2022-03-01,100.0
134,Cervinia,2022-02-01,100.0
134,Cervinia,2022-01-01,91.34
16,Treble Cone,2022-12-01,1.18
16,Treble Cone,2022-11-01,47.24
16,Treble Cone,2022-10-01,100.0
16,Treble Cone,2022-09-01,100.0
16,Treble Cone,2022-08-01,100.0
16,Treble Cone,2022-07-01,100.0
16,Treble Cone,2022-06-01,95.28
16,Treble Cone,2022-05-01,31.89
17,Val Gardena,2022-12-01,100.0
17,Val Gardena,2022-11-01,2.36
17,Val Gardena,2022-04-01,0.39
17,Val Gardena,2022-02-01,12.2
17,Val Gardena,2022-01-01,87.01
285,Alpe di Siusi-Seiser Alm-,2022-12-01,100.0
285,Alpe di Siusi-Seiser Alm-,2022-11-01,2.36
285,Alpe di Siusi-Seiser Alm-,2022-04-01,0.39
285,Alpe di Siusi-Seiser Alm-,2022-02-01,12.2
285,Alpe di Siusi-Seiser Alm-,2022-01-01,87.01
18,Gressoney - La-Trinite (Monterosa Ski),2022-12-01,100.0
18,Gressoney - La-Trinite (Monterosa Ski),2022-11-01,20.47
18,Gressoney - La-Trinite (Monterosa Ski),2022-10-01,19.29
18,Gressoney - La-Trinite (Monterosa Ski),2022-09-01,8.66
18,Gressoney - La-Trinite (Monterosa Ski),2022-08-01,8.27
18,Gressoney - La-Trinite (Monterosa Ski),2022-07-01,7.48
18,Gressoney - La-Trinite (Monterosa Ski),2022-06-01,10.24
18,Gressoney - La-Trinite (Monterosa Ski),2022-05-01,41.73
18,Gressoney - La-Trinite (Monterosa Ski),2022-04-01,78.74
18,Gressoney - La-Trinite (Monterosa Ski),2022-03-01,100.0
18,Gressoney - La-Trinite (Monterosa Ski),2022-02-01,100.0
18,Gressoney - La-Trinite (Monterosa Ski),2022-01-01,99.21
19,Les Gets (Les Portes du Soleil),2022-12-01,98.82
19,Les Gets (Les Portes du Soleil),2022-05-01,0.79
19,Les Gets (Les Portes du Soleil),2022-04-01,48.82
19,Les Gets (Les Portes du Soleil),2022-03-01,98.82
19,Les Gets (Les Portes du Soleil),2022-02-01,96.85
19,Les Gets (Les Portes du Soleil),2022-01-01,96.06
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-12-01,98.82
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-05-01,0.79
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-04-01,48.82
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-03-01,98.82
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-02-01,96.85
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,2022-01-01,96.06
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-12-01,98.82
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-05-01,0.79
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-04-01,48.82
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-03-01,98.82
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-02-01,96.85
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,2022-01-01,96.06
20,Espace San Bernardo – La Rosière/?La Thuile,2022-12-01,100.0
20,Espace San Bernardo – La Rosière/?La Thuile,2022-11-01,100.0
20,Espace San Bernardo – La Rosière/?La Thuile,2022-10-01,12.6
20,Espace San Bernardo – La Rosière/?La Thuile,2022-07-01,0.39
20,Espace San Bernardo – La Rosière/?La Thuile,2022-06-01,11.42
20,Espace San Bernardo – La Rosière/?La Thuile,2022-05-01,77.17
20,Espace San Bernardo – La Rosière/?La Thuile,2022-04-01,98.03
20,Espace San Bernardo – La Rosière/?La Thuile,2022-03-01,100.0
20,Espace San Bernardo – La Rosière/?La Thuile,2022-02-01,100.0
20,Espace San Bernardo – La Rosière/?La Thuile,2022-01-01,100.0
32,La Thuile / La Rosière - Espace San Bernardo,2022-12-01,100.0
32,La Thuile / La Rosière - Espace San Bernardo,2022-11-01,100.0
32,La Thuile / La Rosière - Espace San Bernardo,2022-10-01,12.6
32,La Thuile / La Rosière - Espace San Bernardo,2022-07-01,0.39
32,La Thuile / La Rosière - Espace San Bernardo,2022-06-01,11.42
32,La Thuile / La Rosière - Espace San Bernardo,2022-05-01,77.17
32,La Thuile / La Rosière - Espace San Bernardo,2022-04-01,98.03
32,La Thuile / La Rosière - Espace San Bernardo,2022-03-01,100.0
32,La Thuile / La Rosière - Espace San Bernardo,2022-02-01,100.0
32,La Thuile / La Rosière - Espace San Bernardo,2022-01-01,100.0
70,Sainte-Foy-Tarentaise,2022-12-01,100.0
70,Sainte-Foy-Tarentaise,2022-11-01,100.0
70,Sainte-Foy-Tarentaise,2022-10-01,12.6
70,Sainte-Foy-Tarentaise,2022-07-01,0.39
70,Sainte-Foy-Tarentaise,2022-06-01,11.42
70,Sainte-Foy-Tarentaise,2022-05-01,77.17
70,Sainte-Foy-Tarentaise,2022-04-01,98.03
70,Sainte-Foy-Tarentaise,2022-03-01,100.0
70,Sainte-Foy-Tarentaise,2022-02-01,100.0
70,Sainte-Foy-Tarentaise,2022-01-01,100.0
21,The Lecht,2022-12-01,99.61
21,The Lecht,2022-11-01,7.87
21,The Lecht,2022-02-01,66.93
21,The Lecht,2022-01-01,51.97
22,Steamboat,2022-11-01,0.79
22,Steamboat,2022-06-01,5.91
22,Steamboat,2022-03-01,10.24
22,Steamboat,2022-02-01,11.02
22,Steamboat,2022-01-01,38.19
23,Howelsen Hill-Steamboat Springs,2022-12-01,100.0
23,Howelsen Hill-Steamboat Springs,2022-11-01,62.6
23,Howelsen Hill-Steamboat Springs,2022-04-01,15.35
23,Howelsen Hill-Steamboat Springs,2022-03-01,100.0
23,Howelsen Hill-Steamboat Springs,2022-02-01,100.0
23,Howelsen Hill-Steamboat Springs,2022-01-01,100.0
24,Les Contamines-?Hauteluce,2022-12-01,95.28
24,Les Contamines-?Hauteluce,2022-11-01,16.93
24,Les Contamines-?Hauteluce,2022-04-01,0.79
24,Les Contamines-?Hauteluce,2022-03-01,92.52
24,Les Contamines-?Hauteluce,2022-02-01,99.61
24,Les Contamines-?Hauteluce,2022-01-01,99.21
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-12-01,95.28
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-11-01,16.93
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-04-01,0.79
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-03-01,92.52
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-02-01,99.61
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,2022-01-01,99.21
153,Mege?ve-?Saint-Gervais,2022-12-01,95.28
153,Mege?ve-?Saint-Gervais,2022-11-01,16.93
153,Mege?ve-?Saint-Gervais,2022-04-01,0.79
153,Mege?ve-?Saint-Gervais,2022-03-01,92.52
153,Mege?ve-?Saint-Gervais,2022-02-01,99.61
153,Mege?ve-?Saint-Gervais,2022-01-01,99.21
25,Crested Butte,2022-12-01,100.0
25,Crested Butte,2022-11-01,100.0
25,Crested Butte,2022-10-01,22.83
25,Crested Butte,2022-05-01,3.94
25,Crested Butte,2022-04-01,94.88
25,Crested Butte,2022-03-01,98.82
25,Crested Butte,2022-02-01,98.43
25,Crested Butte,2022-01-01,98.82
26,Jackson Hole,2022-11-01,6.3
27,Park City,2022-12-01,100.0
27,Park City,2022-11-01,100.0
27,Park City,2022-10-01,12.2
27,Park City,2022-04-01,8.66
27,Park City,2022-03-01,98.43
27,Park City,2022-02-01,100.0
27,Park City,2022-01-01,100.0
28,Nevis Range,2022-12-01,83.07
28,Nevis Range,2022-02-01,98.03
28,Nevis Range,2022-01-01,100.0
29,Arapahoe Basin,2022-12-01,3.94
29,Arapahoe Basin,2022-02-01,25.59
29,Arapahoe Basin,2022-01-01,33.07
30,The Remarkables,2022-12-01,3.54
30,The Remarkables,2022-11-01,5.51
30,The Remarkables,2022-10-01,92.91
30,The Remarkables,2022-09-01,98.03
30,The Remarkables,2022-08-01,99.21
30,The Remarkables,2022-07-01,100.0
30,The Remarkables,2022-06-01,100.0
30,The Remarkables,2022-05-01,50.79
31,Valchiavenna – Madesimo/?Campodolcino,2022-12-01,97.64
31,Valchiavenna – Madesimo/?Campodolcino,2022-11-01,77.17
31,Valchiavenna – Madesimo/?Campodolcino,2022-05-01,4.72
31,Valchiavenna – Madesimo/?Campodolcino,2022-04-01,29.13
31,Valchiavenna – Madesimo/?Campodolcino,2022-03-01,77.95
31,Valchiavenna – Madesimo/?Campodolcino,2022-02-01,97.64
31,Valchiavenna – Madesimo/?Campodolcino,2022-01-01,81.5
33,Livigno – Carosello/?Mottolino,2022-12-01,96.06
33,Livigno – Carosello/?Mottolino,2022-11-01,91.34
33,Livigno – Carosello/?Mottolino,2022-05-01,12.99
33,Livigno – Carosello/?Mottolino,2022-04-01,60.63
33,Livigno – Carosello/?Mottolino,2022-03-01,94.88
33,Livigno – Carosello/?Mottolino,2022-02-01,94.88
33,Livigno – Carosello/?Mottolino,2022-01-01,96.46
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-12-01,100.0
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-11-01,34.25
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-05-01,1.57
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-04-01,59.45
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-03-01,66.14
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-02-01,90.94
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,2022-01-01,93.31
35,Wagrain (Ski amedé),2022-12-01,87.4
35,Wagrain (Ski amedé),2022-11-01,13.39
35,Wagrain (Ski amedé),2022-04-01,12.6
35,Wagrain (Ski amedé),2022-03-01,98.43
35,Wagrain (Ski amedé),2022-02-01,97.24
35,Wagrain (Ski amedé),2022-01-01,97.64
106,Flachau (Ski amedé),2022-12-01,87.4
106,Flachau (Ski amedé),2022-11-01,13.39
106,Flachau (Ski amedé),2022-04-01,12.6
106,Flachau (Ski amedé),2022-03-01,98.43
106,Flachau (Ski amedé),2022-02-01,97.24
106,Flachau (Ski amedé),2022-01-01,97.64
117,Zauchensee,2022-12-01,87.4
117,Zauchensee,2022-11-01,13.39
117,Zauchensee,2022-04-01,12.6
117,Zauchensee,2022-03-01,98.43
117,Zauchensee,2022-02-01,97.24
117,Zauchensee,2022-01-01,97.64
474,Monte Popolo-Eben im Pongau,2022-12-01,87.4
474,Monte Popolo-Eben im Pongau,2022-11-01,13.39
474,Monte Popolo-Eben im Pongau,2022-04-01,12.6
474,Monte Popolo-Eben im Pongau,2022-03-01,98.43
474,Monte Popolo-Eben im Pongau,2022-02-01,97.24
474,Monte Popolo-Eben im Pongau,2022-01-01,97.64
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-12-01,99.61
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-11-01,99.61
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-10-01,8.66
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-09-01,5.91
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-06-01,4.33
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-05-01,68.11
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-04-01,100.0
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-03-01,100.0
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-02-01,100.0
36,Kaunertal Glacier (Kaunertaler Gletscher),2022-01-01,99.21
249,Nauders am Reschenpass-Bergkastel,2022-12-01,99.61
249,Nauders am Reschenpass-Bergkastel,2022-11-01,99.61
249,Nauders am Reschenpass-Bergkastel,2022-10-01,8.66
249,Nauders am Reschenpass-Bergkastel,2022-09-01,5.91
249,Nauders am Reschenpass-Bergkastel,2022-06-01,4.33
249,Nauders am Reschenpass-Bergkastel,2022-05-01,68.11
249,Nauders am Reschenpass-Bergkastel,2022-04-01,100.0
249,Nauders am Reschenpass-Bergkastel,2022-03-01,100.0
249,Nauders am Reschenpass-Bergkastel,2022-02-01,100.0
249,Nauders am Reschenpass-Bergkastel,2022-01-01,99.21
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-12-01,100.0
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-11-01,90.94
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-05-01,3.94
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-04-01,100.0
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-03-01,96.85
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-02-01,97.64
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),2022-01-01,92.13
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-12-01,100.0
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-11-01,90.94
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-05-01,3.94
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-04-01,100.0
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-03-01,96.85
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-02-01,97.64
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),2022-01-01,92.13
38,Sestriere ski resort (Via Lattea),2022-12-01,98.03
38,Sestriere ski resort (Via Lattea),2022-11-01,94.49
38,Sestriere ski resort (Via Lattea),2022-05-01,18.5
38,Sestriere ski resort (Via Lattea),2022-04-01,78.35
38,Sestriere ski resort (Via Lattea),2022-03-01,100.0
38,Sestriere ski resort (Via Lattea),2022-02-01,98.43
38,Sestriere ski resort (Via Lattea),2022-01-01,97.24
39,Reither Kogel-Reith im Alpbachtal,2022-12-01,100.0
39,Reither Kogel-Reith im Alpbachtal,2022-11-01,11.42
39,Reither Kogel-Reith im Alpbachtal,2022-04-01,7.48
39,Reither Kogel-Reith im Alpbachtal,2022-03-01,8.66
39,Reither Kogel-Reith im Alpbachtal,2022-02-01,97.24
39,Reither Kogel-Reith im Alpbachtal,2022-01-01,100.0
107,Ski Juwel Alpbachtal Wildscho?nau,2022-12-01,100.0
107,Ski Juwel Alpbachtal Wildscho?nau,2022-11-01,11.42
107,Ski Juwel Alpbachtal Wildscho?nau,2022-04-01,7.48
107,Ski Juwel Alpbachtal Wildscho?nau,2022-03-01,8.66
107,Ski Juwel Alpbachtal Wildscho?nau,2022-02-01,97.24
107,Ski Juwel Alpbachtal Wildscho?nau,2022-01-01,100.0
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-12-01,100.0
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-11-01,11.42
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-04-01,7.48
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-03-01,8.66
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-02-01,97.24
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,2022-01-01,100.0
40,Kicking Horse - Golden,2022-12-01,96.85
40,Kicking Horse - Golden,2022-11-01,97.24
40,Kicking Horse - Golden,2022-09-01,9.45
40,Kicking Horse - Golden,2022-07-01,3.94
40,Kicking Horse - Golden,2022-06-01,24.8
40,Kicking Horse - Golden,2022-04-01,100.0
40,Kicking Horse - Golden,2022-03-01,98.03
40,Kicking Horse - Golden,2022-02-01,99.61
40,Kicking Horse - Golden,2022-01-01,94.09
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-12-01,100.0
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-11-01,32.28
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-05-01,10.24
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-04-01,100.0
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-03-01,99.61
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-02-01,100.0
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,2022-01-01,100.0
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-12-01,100.0
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-11-01,32.28
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-05-01,10.24
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-04-01,100.0
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-03-01,99.61
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-02-01,100.0
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),2022-01-01,100.0
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-12-01,100.0
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-11-01,32.28
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-05-01,10.24
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-04-01,100.0
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-03-01,99.61
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-02-01,100.0
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),2022-01-01,100.0
42,Rinerhorn (Davos Klosters),2022-12-01,100.0
42,Rinerhorn (Davos Klosters),2022-11-01,100.0
42,Rinerhorn (Davos Klosters),2022-10-01,14.17
42,Rinerhorn (Davos Klosters),2022-09-01,10.63
42,Rinerhorn (Davos Klosters),2022-06-01,12.2
42,Rinerhorn (Davos Klosters),2022-05-01,35.83
42,Rinerhorn (Davos Klosters),2022-04-01,96.85
42,Rinerhorn (Davos Klosters),2022-03-01,100.0
42,Rinerhorn (Davos Klosters),2022-02-01,100.0
42,Rinerhorn (Davos Klosters),2022-01-01,100.0
141,St. Moritz - Corviglia,2022-12-01,100.0
141,St. Moritz - Corviglia,2022-11-01,100.0
141,St. Moritz - Corviglia,2022-10-01,14.17
141,St. Moritz - Corviglia,2022-09-01,10.63
141,St. Moritz - Corviglia,2022-06-01,12.2
141,St. Moritz - Corviglia,2022-05-01,35.83
141,St. Moritz - Corviglia,2022-04-01,96.85
141,St. Moritz - Corviglia,2022-03-01,100.0
141,St. Moritz - Corviglia,2022-02-01,100.0
141,St. Moritz - Corviglia,2022-01-01,100.0
43,Madrisa (Davos Klosters),2022-12-01,97.24
43,Madrisa (Davos Klosters),2022-11-01,79.13
43,Madrisa (Davos Klosters),2022-09-01,0.79
43,Madrisa (Davos Klosters),2022-05-01,3.54
43,Madrisa (Davos Klosters),2022-04-01,65.35
43,Madrisa (Davos Klosters),2022-03-01,94.88
43,Madrisa (Davos Klosters),2022-02-01,96.06
43,Madrisa (Davos Klosters),2022-01-01,96.85
44,Jakobshorn (Davos Klosters),2022-12-01,97.24
44,Jakobshorn (Davos Klosters),2022-11-01,79.13
44,Jakobshorn (Davos Klosters),2022-09-01,0.79
44,Jakobshorn (Davos Klosters),2022-05-01,3.54
44,Jakobshorn (Davos Klosters),2022-04-01,65.35
44,Jakobshorn (Davos Klosters),2022-03-01,94.88
44,Jakobshorn (Davos Klosters),2022-02-01,96.06
44,Jakobshorn (Davos Klosters),2022-01-01,96.85
110,Gargellen,2022-12-01,97.24
110,Gargellen,2022-11-01,79.13
110,Gargellen,2022-09-01,0.79
110,Gargellen,2022-05-01,3.54
110,Gargellen,2022-04-01,65.35
110,Gargellen,2022-03-01,94.88
110,Gargellen,2022-02-01,96.06
110,Gargellen,2022-01-01,96.85
201,Parsenn (Davos Klosters),2022-12-01,97.24
201,Parsenn (Davos Klosters),2022-11-01,79.13
201,Parsenn (Davos Klosters),2022-09-01,0.79
201,Parsenn (Davos Klosters),2022-05-01,3.54
201,Parsenn (Davos Klosters),2022-04-01,65.35
201,Parsenn (Davos Klosters),2022-03-01,94.88
201,Parsenn (Davos Klosters),2022-02-01,96.06
201,Parsenn (Davos Klosters),2022-01-01,96.85
45,Glacier 3000 / Les Diablerets,2022-12-01,84.65
